Minuto,Factor_Carga,Temp_Ambiente,Temp_Aceite,Temp_Punto_Caliente,Vida_min,Vida_dias
7,0.11728,17.758,29.48548201048516,31.107096995557743,1.1488042636043345,0.0007977807386141211
7,0.11728,17.758,29.47989147496234,31.099357164497935,1.1527645428121527,0.0008005309325084393
7,0.11728,17.758,29.474971803702257,31.09250060868863,1.1567216863233312,0.0008032789488356466
7,0.11728,17.758,29.470642492993385,31.08645058797763,1.1606760650511183,0.0008060250451743877
7,0.11728,17.758,29.466832699569576,31.08112076560952,1.1646280097176087,0.0008087694511927839
7,0.11728,17.758,29.463480081356625,31.07642844901757,1.168577812703676,0.0008115123699331084
7,0.11728,17.758,29.460529777329228,31.072298470092363,1.1725257316334272,0.0008142539803009911
7,0.11728,17.758,29.457933509785118,31.068663824236648,1.1764719932164966,0.0008169944397336782
7,0.11728,17.758,29.455648794346303,31.065465241454504,1.1804167968669939,0.0008197338867131902
7,0.11728,17.758,29.453638244760143,31.062650454881528,1.1843603179670232,0.000822472443032655
8,0.1142,17.763,29.448035982415096,30.99279245181827,1.1882721416934434,0.0008251889872871135
8,0.1142,17.763,29.44310599155145,30.967964308254576,1.192172761369579,0.0008278977509510965
8,0.1142,17.763,29.438767599591447,30.959203720179946,1.1960694353705352,0.0008306037745628717
8,0.1142,17.763,29.43494981466664,30.956168752053348,1.1999647433853713,0.0008333088495731746
8,0.1142,17.763,29.431590163932814,30.95516739059447,1.203859600809981,0.0008360136116735979
8,0.1142,17.763,29.428633671287045,30.954882410543707,1.2077543300094788,0.0008387182847288048
8,0.1142,17.763,29.42603195775877,30.954844563110836,1.2116490421800628,0.0008414229459583769
8,0.1142,17.763,29.423742449853886,30.954887305588407,1.215543773582022,0.0008441276205430709
8,0.1142,17.763,29.42172768289759,30.95495207904671,1.2194385341280667,0.0008468323153667129
8,0.1142,17.763,29.41995468797605,30.955018779717882,1.2233333246855524,0.0008495370310316337
8,0.1142,17.763,29.418394452445092,30.955080940604184,1.227228143212047,0.0008522417661194771
8,0.1142,17.763,29.41702144517785,30.95513687943258,1.2311229869081355,0.0008549465186862052
8,0.1142,17.763,29.415813198782676,30.955186547476018,1.2350178529524236,0.0008576512867725164
8,0.1142,17.763,29.414749941954923,30.955230413166547,1.238912738734242,0.0008603560685654458
8,0.1142,17.763,29.4138142759465,30.955269071335746,1.2428076419105298,0.000863060862437868
9,0.11320000000000001,17.804,29.416496240020997,30.9382856583763,1.2466949107753755,0.0008657603547051219
9,0.11320000000000001,17.804,29.418856368406555,30.935175365668538,1.2505807831367142,0.0008684588771782737
9,0.11320000000000001,17.804,29.420933281385846,30.936665133334476,1.25446732433254,0.0008711578641198194
9,0.11320000000000001,17.804,29.422760964807622,30.93948570932649,1.2583551321475148,0.0008738577306579964
9,0.11320000000000001,17.804,29.424369326218788,30.942506952073032,1.262244297151744,0.0008765585396887111
9,0.11320000000000001,17.804,29.425784684260613,30.94535819421626,1.2661347434128494,0.0008792602384811454
9,0.11320000000000001,17.804,29.427030199337416,30.947936054633114,1.2700263484451708,0.0008819627419758131
9,0.11320000000000001,17.804,29.428126252605004,30.95022913156095,1.2739189845260441,0.0008846659614764195
9,0.11320000000000001,17.804,29.429090779480482,30.95225581060066,1.2778125321009555,0.0008873698139589968
9,0.11320000000000001,17.804,29.4299395631309,30.954042420778183,1.2817068833765164,0.0008900742245670253
9,0.11320000000000001,17.804,29.43068649274327,30.95561575652818,1.2856019425493084,0.000892779126770353
9,0.11320000000000001,17.804,29.431343790802156,30.957000691557386,1.2894976249579304,0.0008954844617763406
